epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.8914,1.88625,3.94557,1.9733,0.52235,0.39112,0.52547,0.28495,1.78292,7.51664,2.02727,0.00015827,0.00015827,0.00015827
2,22.6462,1.72144,2.39428,1.75077,0.77414,0.31668,0.45929,0.23707,1.74156,2.77981,2.05313,0.00031951,0.00031951,0.00031951
3,31.611,1.7235,2.09402,1.72271,0.38596,0.46514,0.36856,0.16154,1.93626,2.403,2.24717,0.000475251,0.000475251,0.000475251
4,40.9947,1.72163,1.91291,1.73976,0.36476,0.29597,0.25652,0.10567,2.00988,2.75212,2.37667,0.000625496,0.000625496,0.000625496
5,50.024,1.73039,1.91773,1.78246,0.61874,0.2705,0.33243,0.14391,2.00817,2.62144,2.5022,0.000770242,0.000770242,0.000770242
6,58.743,1.72743,1.86291,1.75266,0.34865,0.25821,0.20381,0.06828,2.26074,2.69507,2.7237,0.000764278,0.000764278,0.000764278
7,68.1454,1.66319,1.79831,1.73671,0.59992,0.28207,0.30801,0.10807,2.00446,2.20554,2.39701,0.000750533,0.000750533,0.000750533
8,76.556,1.68846,1.75609,1.72434,0.61756,0.36749,0.40652,0.16551,2.01563,2.10037,2.32844,0.000736788,0.000736788,0.000736788
9,84.9738,1.69428,1.69554,1.73175,0.6458,0.40567,0.54155,0.19066,2.08625,2.1805,2.51681,0.000723044,0.000723044,0.000723044
10,94.5254,1.72141,1.71847,1.74837,0.66572,0.40393,0.48805,0.19721,2.04864,2.16725,2.52295,0.000709299,0.000709299,0.000709299
11,103.514,1.65303,1.63701,1.71072,0.55814,0.62902,0.59278,0.23108,2.01255,2.00777,2.49028,0.000695555,0.000695555,0.000695555
12,111.646,1.65257,1.61221,1.72109,0.7008,0.53639,0.52152,0.20928,2.10253,1.69726,2.43991,0.00068181,0.00068181,0.00068181
13,120.397,1.69769,1.61174,1.74247,0.47851,0.5891,0.50315,0.20887,1.89106,1.88699,2.20934,0.000668066,0.000668066,0.000668066
14,129.679,1.60238,1.56299,1.68844,0.59842,0.4386,0.48126,0.23148,1.82022,1.70065,2.11426,0.000654321,0.000654321,0.000654321
15,137.843,1.60354,1.49922,1.64821,0.64845,0.52603,0.60023,0.24761,1.92099,1.55652,2.1943,0.000640577,0.000640577,0.000640577
16,147.566,1.52615,1.4852,1.64309,0.5901,0.57478,0.59263,0.24739,1.8756,1.5629,2.05384,0.000626832,0.000626832,0.000626832
17,156.761,1.54706,1.42384,1.64276,0.46702,0.61794,0.55211,0.22624,2.06087,1.5883,2.31899,0.000613088,0.000613088,0.000613088
18,165.23,1.56999,1.3831,1.64149,0.65621,0.54012,0.54571,0.28639,1.90427,1.40768,2.28105,0.000599343,0.000599343,0.000599343
19,174.704,1.52004,1.30206,1.61666,0.56861,0.81384,0.71415,0.31722,1.78583,1.27125,2.02782,0.000585599,0.000585599,0.000585599
20,184.386,1.54336,1.29892,1.62806,0.52008,0.69397,0.6792,0.32253,1.8577,1.44237,2.13804,0.000571854,0.000571854,0.000571854
21,193.299,1.46483,1.24607,1.55837,0.7973,0.55636,0.75725,0.3205,1.91632,1.47759,2.17422,0.00055811,0.00055811,0.00055811
22,202.327,1.44135,1.22443,1.54061,0.72254,0.60388,0.6488,0.33519,1.88526,1.40718,2.17892,0.000544365,0.000544365,0.000544365
23,211.729,1.46429,1.23644,1.56104,0.52969,0.65583,0.61625,0.30665,1.85021,1.39972,2.14408,0.000530621,0.000530621,0.000530621
24,220.343,1.40528,1.18244,1.53755,0.70533,0.56232,0.70468,0.3169,1.84876,1.47165,2.19317,0.000516877,0.000516877,0.000516877
25,228.717,1.42932,1.1789,1.55663,0.73485,0.7734,0.84992,0.36577,1.96559,1.1741,2.19913,0.000503132,0.000503132,0.000503132
26,238.299,1.44663,1.19129,1.55293,0.59761,0.58977,0.71043,0.34606,1.82615,1.35459,1.98792,0.000489387,0.000489387,0.000489387
27,247.042,1.34621,1.06089,1.44784,0.78651,0.58876,0.80076,0.3851,1.8034,1.25211,2.0622,0.000475643,0.000475643,0.000475643
28,255.938,1.39414,1.09471,1.50357,0.8004,0.66211,0.7804,0.34728,2.03656,1.27728,2.29875,0.000461898,0.000461898,0.000461898
29,264.049,1.32168,1.06124,1.47433,0.64469,0.70848,0.72495,0.34056,1.9002,1.13993,2.1526,0.000448154,0.000448154,0.000448154
30,273.454,1.32328,1.05961,1.48489,0.63057,0.73476,0.72332,0.35911,1.8447,1.2031,2.05187,0.000434409,0.000434409,0.000434409
31,281.849,1.28564,1.00653,1.41707,0.82882,0.75107,0.80475,0.3884,1.66059,1.17878,1.90213,0.000420665,0.000420665,0.000420665
32,290.943,1.28243,0.96514,1.41221,0.56597,0.76331,0.7587,0.36651,1.90992,1.14922,2.23774,0.00040692,0.00040692,0.00040692
33,299.878,1.26334,0.98533,1.41829,0.63707,0.80388,0.77205,0.35732,1.9485,1.08922,2.30225,0.000393176,0.000393176,0.000393176
34,308.712,1.24477,1.00116,1.43214,0.7798,0.75097,0.8255,0.39215,1.90263,1.12229,2.19661,0.000379431,0.000379431,0.000379431
35,317.223,1.24121,0.99803,1.41492,0.69663,0.78147,0.78164,0.4002,1.90948,1.0909,2.32274,0.000365687,0.000365687,0.000365687
36,327.719,1.20397,0.92808,1.37604,0.73998,0.89049,0.838,0.37567,1.81282,1.12522,2.19903,0.000351942,0.000351942,0.000351942
37,336.493,1.16344,0.89053,1.33888,0.8339,0.78856,0.84356,0.42188,1.83546,1.10978,2.16617,0.000338198,0.000338198,0.000338198
38,345.402,1.16774,0.87238,1.35527,0.79632,0.83918,0.86721,0.43312,1.81418,1.06786,2.17018,0.000324453,0.000324453,0.000324453
39,354.242,1.16754,0.8628,1.35381,0.88796,0.75706,0.89286,0.43692,1.76796,1.06164,2.14386,0.000310709,0.000310709,0.000310709
40,363.14,1.16908,0.89558,1.37655,0.7934,0.86192,0.86504,0.42567,1.77173,0.97962,2.11271,0.000296964,0.000296964,0.000296964
41,371.585,1.12619,0.85945,1.33707,0.91456,0.75667,0.86624,0.42807,1.71978,0.98691,2.02394,0.00028322,0.00028322,0.00028322
42,380.524,1.11548,0.82932,1.32426,0.79475,0.76483,0.77746,0.41353,1.72151,1.03674,2.0291,0.000269475,0.000269475,0.000269475
43,389.276,1.10889,0.81109,1.30285,0.73867,0.74693,0.79621,0.43845,1.64466,1.11836,2.01168,0.000255731,0.000255731,0.000255731
44,397.804,1.08472,0.80865,1.28487,0.80564,0.73485,0.82787,0.4304,1.76344,1.07896,2.11938,0.000241986,0.000241986,0.000241986
45,407.447,1.06741,0.80376,1.30156,0.76515,0.85697,0.82915,0.4142,1.82997,1.04176,2.24428,0.000228242,0.000228242,0.000228242
46,416.724,1.0521,0.78011,1.29058,0.80263,0.82171,0.84234,0.42673,1.82153,1.02594,2.27931,0.000214497,0.000214497,0.000214497
47,424.73,1.05125,0.74796,1.27289,0.81206,0.7767,0.82231,0.43121,1.81652,1.07967,2.24021,0.000200753,0.000200753,0.000200753
48,434.233,1.02458,0.73369,1.26258,0.87319,0.77951,0.85115,0.42283,1.83737,0.98845,2.22252,0.000187008,0.000187008,0.000187008
49,443.503,1.01006,0.71963,1.25694,0.81712,0.81988,0.87738,0.43273,1.81841,0.9038,2.18422,0.000173264,0.000173264,0.000173264
50,452.614,0.99279,0.70165,1.23448,0.75006,0.86537,0.86913,0.41964,1.79812,0.93816,2.17186,0.00015952,0.00015952,0.00015952
51,463.572,0.95963,0.65207,1.25345,0.77505,0.85544,0.84971,0.40572,1.88318,1.02104,2.28031,0.000145775,0.000145775,0.000145775
52,472.551,0.94369,0.58589,1.22801,0.87731,0.85309,0.89418,0.41729,1.86124,1.01855,2.28097,0.000132031,0.000132031,0.000132031
53,481.439,0.87428,0.54723,1.21652,0.85171,0.81855,0.89549,0.4177,1.79004,1.03682,2.2198,0.000118286,0.000118286,0.000118286
54,490.118,0.85251,0.53627,1.18789,0.84482,0.87503,0.90566,0.43342,1.79233,0.98433,2.1962,0.000104542,0.000104542,0.000104542
55,499.284,0.86753,0.50147,1.1967,0.86344,0.83587,0.88932,0.4614,1.79217,0.95898,2.19969,9.0797e-05,9.0797e-05,9.0797e-05
56,509.173,0.81961,0.48315,1.16997,0.77377,0.83543,0.85348,0.45045,1.7878,0.89171,2.23102,7.70525e-05,7.70525e-05,7.70525e-05
57,519.08,0.78556,0.47476,1.14934,0.73875,0.87924,0.86487,0.45693,1.77829,0.89626,2.20328,6.3308e-05,6.3308e-05,6.3308e-05
58,527.077,0.7756,0.46442,1.11134,0.77522,0.79106,0.83691,0.44393,1.78101,0.88496,2.20783,4.95635e-05,4.95635e-05,4.95635e-05
59,536.065,0.77831,0.47046,1.12823,0.82516,0.78816,0.84091,0.44457,1.80566,0.90234,2.23476,3.5819e-05,3.5819e-05,3.5819e-05
60,545.233,0.76998,0.45951,1.13062,0.82557,0.78691,0.85032,0.45326,1.79236,0.89846,2.22515,2.20745e-05,2.20745e-05,2.20745e-05
